ITERATION_CODE|ITERATION_NAME|LEVEL|ALONE|DETAILED_ONLY|COARSE_ONLY
1001|White alone|0|True|Null|Null
1002|European alone|1|True|False|False
1003|Albanian alone|2|True|False|False
1004|Alsatian alone|2|True|False|False
1005|Andorran alone|2|True|False|False
1006|Armenian alone|2|True|False|False
1007|Austrian alone|2|True|False|False
1008|Azerbaijani alone|2|True|False|False
1009|Basque alone|2|True|False|False
1010|Belarusian alone|2|True|False|False
1011|Belgian alone|2|True|False|False
1012|Bosnian and Herzegovinian alone|2|True|False|False
1013|British alone|2|True|False|False
1014|British Islander alone|2|True|False|False
1015|Bulgarian alone|2|True|False|False
1016|Carpatho Rusyn alone|2|True|False|False
1017|Celtic alone|2|True|False|False
1018|Cornish alone|2|True|False|False
1019|Croatian alone|2|True|False|False
1020|Cypriot alone|2|True|False|False
1021|Czech alone|2|True|False|False
1022|Danish alone|2|True|False|False
1023|Dutch alone|2|True|False|False
1024|English alone|2|True|False|False
1025|Estonian alone|2|True|False|False
1026|Faroe Islander alone|2|True|False|False
1027|Finnish alone|2|True|False|False
1028|French alone|2|True|False|False
1029|Frisian alone|2|True|False|False
1030|Georgian alone|2|True|False|False
1031|German alone|2|True|False|False
1032|Greek alone|2|True|False|False
1033|Hungarian alone|2|True|False|False
1034|Icelandic alone|2|True|False|False
1035|Irish alone|2|True|False|False
1036|Italian alone|2|True|False|False
1037|Kosovan alone|2|True|False|False
1038|Lapp alone|2|True|False|False
1039|Latvian alone|2|True|False|False
1040|Liechtensteiner alone|2|True|False|False
1041|Lithuanian alone|2|True|False|False
1042|Luxembourger alone|2|True|False|False
1043|Macedonian alone|2|True|False|False
1044|Maltese alone|2|True|False|False
1045|Manx alone|2|True|False|False
1046|Moldovan alone|2|True|False|False
1047|Monegasque alone|2|True|False|False
1048|Montenegrin alone|2|True|False|False
1049|Northern Irelander alone|2|True|False|False
1050|Norwegian alone|2|True|False|False
1051|Polish alone|2|True|False|False
1052|Portuguese alone|2|True|False|False
1053|Roma alone|2|True|False|False
1054|Romanian alone|2|True|False|False
1055|Russian alone|2|True|False|False
1056|Scandinavian alone|2|True|False|False
1057|Scots-Irish alone|2|True|False|False
1058|Scottish alone|2|True|False|False
1059|Serbian alone|2|True|False|False
1060|Slavic alone|2|True|False|False
1061|Slovak alone|2|True|False|False
1062|Slovenian alone|2|True|False|False
1063|Swedish alone|2|True|False|False
1064|Swiss alone|2|True|False|False
1065|Tatar alone|2|True|False|False
1066|Turkish alone|2|True|False|False
1067|Ukrainian alone|2|True|False|False
1068|Welsh alone|2|True|False|False
1069|Other European alone|2|True|True|False
1070|Other European alone (Sub-state and AIANNH geographies)|0|True|Null|Null
1071|Middle Eastern or North African alone|1|True|False|False
1072|Algerian alone|2|True|False|False
1073|Arab alone|2|True|False|False
1074|Assyrian alone|2|True|False|False
1075|Bahraini alone|2|True|False|False
1076|Berber alone|2|True|False|False
1077|Chaldean alone|2|True|False|False
1078|Egyptian alone|2|True|False|False
1079|Emirati alone|2|True|False|False
1080|Iranian alone|2|True|False|False
1081|Iraqi alone|2|True|False|False
1082|Israeli alone|2|True|False|False
1083|Jordanian alone|2|True|False|False
1084|Kurdish alone|2|True|False|False
1085|Kuwaiti alone|2|True|False|False
1086|Lebanese alone|2|True|False|False
1087|Libyan alone|2|True|False|False
1088|Moroccan alone|2|True|False|False
1089|Omani alone|2|True|False|False
1090|Palestinian alone|2|True|False|False
1091|Qatari alone|2|True|False|False
1092|Saudi alone|2|True|False|False
1093|Syriac alone|2|True|False|False
1094|Syrian alone|2|True|False|False
1095|Tunisian alone|2|True|False|False
1096|Yazidi alone|2|True|False|False
1097|Yemeni alone|2|True|False|False
1098|Other Middle Eastern or North African alone|2|True|True|False
1099|Other Middle Eastern or North African alone (Sub-state and AIANNH geographies)|0|True|Null|Null
1100|Other White alone|1|True|False|False
1101|Afrikaner alone|2|True|False|False
1102|Australian alone|2|True|False|False
1103|Cajun alone|2|True|False|False
1104|Canadian alone|2|True|False|False
1105|French Canadian alone|2|True|False|False
1106|Greenlandic alone|2|True|False|False
1107|New Zealander alone|2|True|False|False
1108|Pennsylvania German alone|2|True|False|False
1109|Other White alone, specified|2|True|True|False
1110|Other White alone, specified (Sub-state and AIANNH geographies)|0|True|Null|Null
1111|Other White alone, not specified|2|True|False|False
1112|White alone or in combination with one or more other races|0|False|Null|Null
1113|European alone or in any combination|1|False|False|False
1114|Albanian alone or in any combination|2|False|False|False
1115|Alsatian alone or in any combination|2|False|False|False
1116|Andorran alone or in any combination|2|False|False|False
1117|Armenian alone or in any combination|2|False|False|False
1118|Austrian alone or in any combination|2|False|False|False
1119|Azerbaijani alone or in any combination|2|False|False|False
1120|Basque alone or in any combination|2|False|False|False
1121|Belarusian alone or in any combination|2|False|False|False
1122|Belgian alone or in any combination|2|False|False|False
1123|Bosnian and Herzegovinian alone or in any combination|2|False|False|False
1124|British alone or in any combination|2|False|False|False
1125|British Islander alone or in any combination|2|False|False|False
1126|Bulgarian alone or in any combination|2|False|False|False
1127|Carpatho Rusyn alone or in any combination|2|False|False|False
1128|Celtic alone or in any combination|2|False|False|False
1129|Cornish alone or in any combination|2|False|False|False
1130|Croatian alone or in any combination|2|False|False|False
1131|Cypriot alone or in any combination|2|False|False|False
1132|Czech alone or in any combination|2|False|False|False
1133|Danish alone or in any combination|2|False|False|False
1134|Dutch alone or in any combination|2|False|False|False
1135|English alone or in any combination|2|False|False|False
1136|Estonian alone or in any combination|2|False|False|False
1137|Faroe Islander alone or in any combination|2|False|False|False
1138|Finnish alone or in any combination|2|False|False|False
1139|French alone or in any combination|2|False|False|False
1140|Frisian alone or in any combination|2|False|False|False
1141|Georgian alone or in any combination|2|False|False|False
1142|German alone or in any combination|2|False|False|False
1143|Greek alone or in any combination|2|False|False|False
1144|Hungarian alone or in any combination|2|False|False|False
1145|Icelandic alone or in any combination|2|False|False|False
1146|Irish alone or in any combination|2|False|False|False
1147|Italian alone or in any combination|2|False|False|False
1148|Kosovan alone or in any combination|2|False|False|False
1149|Lapp alone or in any combination|2|False|False|False
1150|Latvian alone or in any combination|2|False|False|False
1151|Liechtensteiner alone or in any combination|2|False|False|False
1152|Lithuanian alone or in any combination|2|False|False|False
1153|Luxembourger alone or in any combination|2|False|False|False
1154|Macedonian alone or in any combination|2|False|False|False
1155|Maltese alone or in any combination|2|False|False|False
1156|Manx alone or in any combination|2|False|False|False
1157|Moldovan alone or in any combination|2|False|False|False
1158|Monegasque alone or in any combination|2|False|False|False
1159|Montenegrin alone or in any combination|2|False|False|False
1160|Northern Irelander alone or in any combination|2|False|False|False
1161|Norwegian alone or in any combination|2|False|False|False
1162|Polish alone or in any combination|2|False|False|False
1163|Portuguese alone or in any combination|2|False|False|False
1164|Roma alone or in any combination|2|False|False|False
1165|Romanian alone or in any combination|2|False|False|False
1166|Russian alone or in any combination|2|False|False|False
1167|Scandinavian alone or in any combination|2|False|False|False
1168|Scots-Irish alone or in any combination|2|False|False|False
1169|Scottish alone or in any combination|2|False|False|False
1170|Serbian alone or in any combination|2|False|False|False
1171|Slavic alone or in any combination|2|False|False|False
1172|Slovak alone or in any combination|2|False|False|False
1173|Slovenian alone or in any combination|2|False|False|False
1174|Swedish alone or in any combination|2|False|False|False
1175|Swiss alone or in any combination|2|False|False|False
1176|Tatar alone or in any combination|2|False|False|False
1177|Turkish alone or in any combination|2|False|False|False
1178|Ukrainian alone or in any combination|2|False|False|False
1179|Welsh alone or in any combination|2|False|False|False
1180|Other European alone or in any combination|2|False|True|False
1181|Other European alone or in any combination (Sub-state and AIANNH geographies)|0|False|Null|Null
1182|Middle Eastern or North African alone or in any combination|1|False|False|False
1183|Algerian alone or in any combination|2|False|False|False
1184|Arab alone or in any combination|2|False|False|False
1185|Assyrian alone or in any combination|2|False|False|False
1186|Bahraini alone or in any combination|2|False|False|False
1187|Berber alone or in any combination|2|False|False|False
1188|Chaldean alone or in any combination|2|False|False|False
1189|Egyptian alone or in any combination|2|False|False|False
1190|Emirati alone or in any combination|2|False|False|False
1191|Iranian alone or in any combination|2|False|False|False
1192|Iraqi alone or in any combination|2|False|False|False
1193|Israeli alone or in any combination|2|False|False|False
1194|Jordanian alone or in any combination|2|False|False|False
1195|Kurdish alone or in any combination|2|False|False|False
1196|Kuwaiti alone or in any combination|2|False|False|False
1197|Lebanese alone or in any combination|2|False|False|False
1198|Libyan alone or in any combination|2|False|False|False
1199|Moroccan alone or in any combination|2|False|False|False
1200|Omani alone or in any combination|2|False|False|False
1201|Palestinian alone or in any combination|2|False|False|False
1202|Qatari alone or in any combination|2|False|False|False
1203|Saudi alone or in any combination|2|False|False|False
1204|Syriac alone or in any combination|2|False|False|False
1205|Syrian alone or in any combination|2|False|False|False
1206|Tunisian alone or in any combination|2|False|False|False
1207|Yazidi alone or in any combination|2|False|False|False
1208|Yemeni alone or in any combination|2|False|False|False
1209|Other Middle Eastern or North African alone or in any combination|2|False|True|False
1210|Other Middle Eastern or North African alone or in any combination (Sub-state and AIANNH geographies)|0|False|Null|Null
1211|Other White alone or in any combination|1|False|False|False
1212|Afrikaner alone or in any combination|2|False|False|False
